"track_name","artist_name","artist_count","released_year","released_month","released_day","in_spotify_charts","streams","in_apple_charts","bpm","mode","danceability_pct","valence_pct","energy_pct","acousticness_pct","instrumentalness_pct","liveness_pct","speechiness_pct"
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,"0","37126685","17",135,"Minor",77,28,55,18,0,22,15
"Eyes Closed","Ed Sheeran",1,2023,3,23,"30","195576623","69",107,"Major",78,39,53,30,0,11,6
"Escapism.","RAYE, 070 Shake",2,2022,10,12,"25","532336353","84",96,"Major",54,25,74,14,0,9,11
"La Jumpa","Arcangel, Bad Bunny",2,2022,11,30,"34","538115192","77",123,"Major",71,58,70,30,0,32,19
"Karma (feat. Ice Spice)","Taylor Swift, Ice Spice",2,2023,5,26,"0","46142772","21",90,"Major",62,7,62,6,0,58,6
"Superhero (Heroes & Villains) [with Future & Chris Brown]","Future, Chris Brown, Metro Boomin",3,2022,12,2,"16","401036314","69",117,"Minor",72,45,59,14,0,20,21
"Las Morras","BLESSD, Peso Pluma",2,2023,4,4,"8","127026613","78",133,"Minor",78,90,84,31,0,7,4
"CHORRITO PA LAS ANIMAS","Feid",1,2022,12,2,"36","345031710","65",96,"Minor",74,61,83,11,0,35,6
"Ch y la Pizza","Fuerza Regida, Natanael Cano",2,2022,12,1,"10","288101651","72",149,"Major",66,85,60,40,0,14,13
"Snow On The Beach (feat. More Lana Del Rey)","Lana Del Rey, Taylor Swift",2,2023,5,26,"2","60350538","0",110,"Minor",66,32,40,81,0,11,3
"Players","Coi Leray",1,2022,11,30,"6","335074782","48",105,"Major",95,62,52,3,0,5,16
"Bite Me","ENHYPEN",1,2023,5,22,"69","76767396","96",105,"Major",80,69,78,28,0,11,14
"Stand By Me (feat. Morgan Wallen)","Lil Durk, Morgan Wallen",2,2023,5,26,"5","46065667","82",134,"Major",76,61,58,6,0,16,3
"Normal","Feid",1,2022,7,8,"36","459276435","66",170,"Minor",71,59,56,4,0,27,12
"Hummingbird (Metro Boomin & James Blake)","James Blake, Metro Boomin",2,2023,6,2,"1","39666245","20",81,"Major",59,26,60,46,1,25,13
"Seu Brilho Sumiu - Ao Vivo","Israel & Rodolffo, Mari Fernandez",2,2023,3,1,"5","138517666","29",154,"Major",63,75,92,31,0,91,5
"Bad Habit","Steve Lacy",1,2022,6,29,"12","822633917","72",169,"Major",69,69,51,63,0,38,4
"CUFF IT","BeyoncяПН",1,2022,7,29,"10","595900742","88",115,"Major",78,64,69,4,0,7,14
"Lilith (feat. SUGA of BTS) (Diablo IV Anthem)","Halsey, Suga",2,2023,6,5,"6","51985779","14",84,"Minor",43,14,74,1,0,19,8
"69","Nicky Jam, Feid",2,2023,5,18,"22","57945987","14",93,"Major",79,58,62,11,0,11,23
"NiяПНяПНa Bo","Sean Paul, Feid",2,2023,4,21,"34","115010040","26",91,"Major",82,47,62,10,0,10,15
"Search & Rescue","Drake",1,2023,4,7,"6","175097833","70",142,"Minor",82,54,44,6,0,33,7
"AMERICA HAS A PROBLEM (feat. Kendrick Lamar)","Kendrick Lamar, BeyoncяПН",2,2023,5,19,"0","57089066","2",126,"Major",78,20,70,1,0,16,4
"Lavender Haze","Taylor Swift",1,2022,10,21,"8","488386797","43",97,"Major",73,10,44,26,0,16,8
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,"0","32761689","10",101,"Major",92,59,51,41,51,26,8
"Efecto","Bad Bunny",1,2022,5,6,"33","1047480053","65",98,"Minor",80,23,48,14,0,6,5
"Erro Gostoso - Ao Vivo","Simone Mendes",1,2023,1,27,"5","153454328","57",154,"Major",59,63,89,18,0,80,9
"Cupido","Tini",1,2023,2,14,"24","217672943","29",120,"Major",91,63,58,52,0,31,22
"Just Wanna Rock","Lil Uzi Vert",1,2022,10,17,"13","457184829","27",150,"Major",49,4,55,7,0,6,3
"Unstoppable","Sia",1,2016,1,21,"13","939844851","66",174,"Major",47,27,78,11,0,10,8
"Until I Found You","Stephen Sanchez",1,2021,9,1,"4","726434358","100",202,"Major",34,25,51,69,0,18,4
"Rich Flex","Drake, 21 Savage",2,2022,11,4,"18","573633020","84",153,"Minor",56,42,52,5,0,36,24
"Easy On Me","Adele",1,2021,10,14,"20","1406111294","87",142,"Major",60,13,37,58,0,13,3
"CartяПНяПНo B","MC Caverinha, KayBlack",2,2023,5,11,"4","71573339","2",108,"Minor",84,55,47,26,0,20,64
"Danger (Spider) (Offset & JID)","Offset, JID",2,2023,6,2,"0","24975653","3",143,"Major",83,25,69,4,0,23,12
"Oi Balde - Ao Vivo","ZяПНяПН Neto & Crist",1,2023,2,14,"2","145458418","57",108,"Major",67,55,67,60,0,80,5
"The Real Slim Shady","Eminem",1,2000,1,1,"27","1424589568","53",104,"Minor",95,78,66,3,0,4,6
"MERCHO","Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,"20","231332117","22",93,"Minor",84,96,79,43,0,18,11
"The Color Violet","Tory Lanez",1,2021,12,10,"32","415932686","79",105,"Minor",65,46,53,16,0,9,5
"Glimpse of Us","Joji",1,2022,6,10,"6","988515741","42",170,"Major",44,27,32,89,0,14,5
"Mejor Que Yo","Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,"1","50847624","13",178,"Minor",62,56,66,18,0,12,5
"Curtains","Ed Sheeran",1,2023,5,5,"0","39893489","3",176,"Minor",50,44,76,10,0,32,5
"UNFORGIVEN (feat. Nile Rodgers)","Nile Rodgers, LE SSERAFIM",2,2023,5,1,"13","92035115","110",104,"Minor",80,38,88,11,0,11,5
"Haegeum","Agust D",1,2023,4,21,"12","118810253","84",85,"Major",70,83,84,31,0,47,30
"ConexяПНяПНes de MяПНяПНfia (feat. Rich ","Rich The Kid, MatuяПН",2,2023,4,30,"4","77233241","7",117,"Minor",77,69,58,39,0,26,5
"MIENTRAS ME CURO DEL CORA","Karol G",1,2023,2,24,"35","206399629","26",80,"Major",52,57,48,86,0,15,39
"Never Felt So Alone","Labrinth",1,2023,4,7,"3","117747907","5",98,"Major",44,36,41,50,0,38,5
"X SI VOLVEMOS","Karol G, Romeo Santos",2,2023,2,2,"33","266624541","80",178,"Minor",79,58,78,34,0,11,25
"ceilings","Lizzy McAlpine",1,2022,4,8,"9","293186992","55",148,"Major",51,27,33,48,0,22,3
"Cupid","Fifty Fifty",1,2023,2,24,"10","139681964","93",120,"Major",77,94,66,65,0,38,3
"I AM","IVE",1,2023,4,10,"15","123132751","102",122,"Minor",68,38,88,1,0,8,5
"Cupid яПНяПНяПН Twin Ver. (FIFTY FIFTY) яПНяПНяПН Spe","sped up 8282",1,1997,1,1,"2","103762518","0",144,"Major",74,75,73,42,0,9,4
"Shorty Party","Cartel De Santa, La Kelly",2,2023,3,4,"12","162887075","14",96,"Major",93,47,47,33,0,10,36
"Super","SEVENTEEN",1,2023,4,24,"12","91221625","103",137,"Major",77,35,88,16,0,17,9
"Slut Me Out","NLE Choppa",1,2022,4,22,"4","190490915","4",121,"Minor",94,71,61,12,0,53,42
"Double Fantasy (with Future)","The Weeknd, Future",2,2023,4,21,"0","96180277","65",119,"Minor",60,10,57,1,0,50,3
"All Of The Girls You Loved Before","Taylor Swift",1,2019,8,23,"6","185240616","6",96,"Major",72,40,47,71,0,13,4
"PROVENZA","Karol G",1,2022,4,21,"34","885093467","104",111,"Major",87,53,52,66,1,11,5
"Princess Diana (with Nicki Minaj)","Nicki Minaj, Ice Spice",2,2023,4,14,"4","104992946","0",148,"Major",90,74,68,14,0,10,19
"Di Que Si","Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,"10","147290338","64",182,"Major",57,80,59,8,0,6,5
"Shivers","Ed Sheeran",1,2021,9,9,"30","1302184087","71",141,"Major",79,82,86,28,0,4,9
"Igualito a Mi ApяПН","Fuerza Regida, Peso Pluma",2,2022,12,30,"6","158950978","84",145,"Minor",76,80,81,19,0,6,9
"Shoong! (feat. LISA of BLACKPINK)","TAEYANG, Lisa",2,2023,4,25,"9","76910644","90",110,"Minor",76,26,70,1,0,41,6
"Komang","Raim Laode",1,2022,8,16,"4","137123880","6",134,"Major",70,35,41,41,0,10,3
"DESPECHяПН","ROSALяПН",1,2022,7,28,"33","782369383","90",130,"Major",92,78,62,18,0,6,10
"Made You Look","Meghan Trainor",1,2022,10,21,"6","502574952","23",145,"Major",84,88,53,35,0,8,7
"Watch This - ARIZONATEARS Pluggnb Remix","sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,"10","207033255","0",130,"Minor",69,36,90,1,10,15,4
"No Se Va","Grupo Frontera",1,2022,4,28,"18","404887295","80",173,"Major",59,69,53,12,0,23,3
"Punto G","Quevedo",1,2022,11,4,"35","381161027","26",92,"Minor",75,55,76,25,0,10,15
"Lovers Rock","TV Girl",1,2014,6,5,"13","466231982","1",105,"Minor",56,57,87,0,1,10,4
"METAMORPHOSIS","INTERWORLD",1,2021,11,25,"24","357580552","78",175,"Minor",59,15,64,43,90,12,10
"Mami Chula","Quevedo, Jhayco",2,2023,4,27,"4","61105704","13",120,"Minor",80,33,70,22,0,9,4
"En Paris","El Chachito, Junior H",2,2022,12,24,"5","198275403","31",139,"Minor",70,77,48,37,0,12,5
"Set Me Free Pt.2","Jimin",1,2023,3,17,"13","168448603","71",132,"Minor",59,56,82,12,0,12,6
"I Was Never There","The Weeknd, Gesaffelstein",2,2018,3,29,"15","705469769","70",114,"Major",32,17,74,14,0,17,3
"Don't ever say love me (feat. RM of BTS)","RM, Colde",2,2023,5,4,"0","34502215","9",145,"Minor",54,19,48,36,0,37,5
"Shut Down","BLACKPINK",1,2022,9,16,"17","482175240","120",110,"Major",82,67,69,0,0,18,4
"Gato de Noche","Nengo Flow, Bad Bunny",2,2022,12,22,"30","304118600","55",94,"Major",89,61,66,17,0,36,16
"Call Out My Name","The Weeknd",1,2018,3,29,"6","1449799467","107",134,"Major",45,17,60,21,0,33,4
"Like Crazy (English Version)","Jimin",1,2023,3,24,"19","173627354","72",120,"Major",62,32,76,0,0,39,4
"Rosa Pastel","Jasiel NuяПНяПНez, Peso P",2,2023,2,2,"4","90025258","77",123,"Minor",70,86,68,24,0,11,4
"Sunroof","Nicky Youre, Dazy",2,2021,12,3,"17","652704649","35",131,"Major",77,84,71,35,0,15,4
"Lose Yourself - Soundtrack Version","Eminem",1,2002,1,1,"21","1829992958","54",171,"Major",70,6,73,1,0,36,26
"Superman","Eminem, Dina Rae",2,2002,5,26,"14","655466831","51",130,"Minor",80,64,76,2,0,20,6
"Mas Rica Que Ayer","Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,"34","146409671","41",94,"Major",82,53,67,34,0,9,8
"People Pt.2 (feat. IU)","IU, Agust D",2,2023,4,7,"4","95816024","45",89,"Minor",73,44,57,39,0,32,6
"REMIX EXCLUSIVO","Feid",1,2023,3,17,"9","117206995","8",87,"Minor",65,71,56,4,0,15,20
"ArcяПНяПНngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,"3","100409613","3",124,"Minor",72,79,78,55,0,15,30
"DOGTOOTH","Tyler, The Creator",2,2023,3,27,"0","80758350","0",78,"Major",71,80,65,51,0,22,32
"10:35","TiяПНяПНsto, Tate M",2,2022,11,1,"26","325592432","104",120,"Major",70,70,79,7,0,18,10
"SORRY NOT SORRY","Tyler, The Creator",2,2023,3,31,"0","58473276","1",96,"Minor",48,50,80,40,0,37,20
"HAPPY","NF",1,2023,3,25,"0","52722996","7",106,"Major",73,22,86,31,0,12,4
"La Bebe","Yng Lvcas",1,2021,12,24,"17","191945597","11",170,"Minor",78,75,46,62,0,12,35
"I Know - PR1SVX Edit","Kanii, PR1ISVX",2,2023,3,24,"0","77377503","15",134,"Minor",67,11,76,8,47,30,7
"Late Night Talking","Harry Styles",1,2022,5,20,"8","743693613","42",115,"Major",71,90,73,30,0,11,5
"LeяПН","MarяПНяПНlia Mendo",1,2022,12,9,"4","267789608","84",130,"Major",74,79,87,45,0,30,3
"Save Your Tears (with Ariana Grande) (Remix)","Ariana Grande, The Weeknd",2,2020,3,20,"5","1221813483","98",118,"Major",65,63,79,3,0,10,3
"Something in the Orange","Zach Bryan",1,2022,4,22,"12","449701773","84",110,"Major",59,22,38,42,0,12,3
"VOID","Melanie Martinez",1,2023,3,29,"0","67070410","9",100,"Major",72,42,66,18,4,19,4
"Dijeron Que No La Iba Lograr","Fuerza Regida, Chino Pacas",2,2023,3,14,"6","116334601","48",142,"Minor",70,76,79,26,0,11,7
"Midnight Rain","Taylor Swift",1,2022,10,21,"4","433356509","29",140,"Major",64,18,37,72,0,12,7
"If We Ever Broke Up","Mae Stephens",1,2023,2,10,"4","165584767","27",116,"Major",90,96,73,62,0,9,4
"You Proof","Morgan Wallen",1,2022,5,13,"9","367814306","88",120,"Major",73,64,85,25,0,61,3
"LA INOCENTE","Feid, Mora",2,2022,4,1,"37","477033549","57",92,"Minor",76,46,79,31,0,7,6
"Malas Decisiones","Kenia OS",1,2022,10,26,"2","156214700","2",110,"Minor",81,64,79,5,0,31,3
"Murder In My Mind","Kordhell",1,2022,1,21,"20","448843705","68",120,"Major",71,57,97,1,0,13,11
"Gangsta's Paradise","Coolio, L.V.",2,1995,7,11,"17","1357608774","0",80,"Major",63,40,61,9,0,56,6
"CAIRO","Karol G, Ovy On The Drums",2,2022,11,13,"26","294352144","66",115,"Minor",95,43,69,47,0,9,31
"I Love You So","The Walters",1,2014,11,28,"7","972164968","19",76,"Major",58,46,67,65,0,13,4
"Dark Red","Steve Lacy",1,2017,2,20,"7","920045682","53",172,"Major",60,77,78,45,0,12,6
"Say You Won't Let Go","James Arthur",1,2016,9,9,"16","2420461338","37",99,"Major",40,45,56,69,0,9,5
"The Hills","The Weeknd",1,2015,5,27,"4","1947371785","94",136,"Minor",36,12,57,9,0,14,8
"Heart To Heart","Mac DeMarco",1,2019,5,10,"0","244658767","27",150,"Minor",90,64,14,67,35,11,10
"Peaches (from The Super Mario Bros. Movie)","Jack Black",1,2023,4,7,"0","68216992","0",92,"Minor",71,41,31,79,0,10,5
"Marisola - Remix","Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,"16","223582566","8",95,"Major",77,72,87,17,0,7,5
"LOKERA","Brray, Rauw Alejandro, Lyanno",3,2022,7,25,"30","471819764","64",102,"Minor",83,58,83,21,0,10,5
"Low","SZA",1,2022,12,9,"0","272377463","71",145,"Minor",70,34,55,43,0,16,6
"Numb","Linkin Park",1,2003,3,24,"5","1361425037","0",110,"Major",50,24,86,0,0,64,4
"Tormenta (feat. Bad Bunny)","Gorillaz, Bad Bunny",2,2023,2,24,"0","149778242","18",95,"Major",64,30,77,46,0,38,6
"on the street (with J. Cole)","j-hope, J. Cole",2,2023,3,3,"2","116599790","82",94,"Minor",68,81,82,53,0,9,13
"One Thing At A Time","Morgan Wallen",1,2022,12,2,"4","148469433","58",142,"Major",61,92,91,0,0,26,3
"Miss You","Robin Schulz, Oliver Tree",2,2022,8,5,"10","497225336","16",145,"Minor",59,20,74,1,0,15,5
"AinяПНяПНяПНt Tha","Morgan Wallen",1,2023,3,3,"4","88791109","20",121,"Minor",64,67,80,0,0,36,3
"ThinkinяПНяПНяПН B","Morgan Wallen",1,2023,3,3,"6","125917280","101",140,"Minor",66,43,76,49,0,12,3
"Private Landing (feat. Justin Bieber & Future)","Don Toliver, Future, Justin Bieber",3,2023,2,23,"0","105062254","3",137,"Minor",84,44,67,8,0,11,6
"Everything I Love","Morgan Wallen",1,2023,1,31,"0","95623148","54",104,"Major",56,72,85,0,0,15,3
"Heaven","Niall Horan",1,2023,2,17,"2","144584800","6",92,"Major",57,68,76,7,0,33,3
"LET GO","Central Cee",1,2022,12,15,"20","298063749","23",146,"Minor",74,51,45,86,0,21,38
"Sial","Mahalini",1,2023,1,23,"4","166570053","6",120,"Major",56,20,43,89,0,12,4
"I Wrote The Book","Morgan Wallen",1,2023,1,31,"0","83021468","17",144,"Major",68,83,81,9,0,8,4
"Apna Bana Le (From Bhediya)","Arijit Singh, Sachin-Jigar",2,2022,11,5,"0","139836056","101",94,"Major",59,44,56,80,0,6,3
"SPIT IN MY FACE!","ThxSoMch",1,2022,10,31,"14","303216294","3",94,"Major",73,65,79,5,2,11,6
"PLAYA DEL INGLяПН","Myke Towers, Quevedo",2,2022,12,15,"15","221409663","15",113,"Minor",79,66,74,8,0,11,5
"Man Made A Bar (feat. Eric Church)","Morgan Wallen, Eric Church",2,2023,3,3,"0","58890931","35",148,"Major",50,49,76,12,0,12,3
"Red Ruby Da Sleeze","Nicki Minaj",1,2023,3,3,"0","81419389","11",98,"Major",70,29,73,12,0,11,26
"Kahani Suno 2.0","Kaifi Khalil",1,2022,5,31,"6","156777415","10",140,"Major",58,26,38,91,0,10,4
"Nobody Gets Me","SZA",1,2022,12,9,"6","284908316","100",100,"Major",36,28,28,81,0,18,3
"PERO TяПН","Karol G, Quevedo",2,2023,2,23,"11","93438910","15",140,"Major",86,68,79,39,0,11,29
"Hype Boy","NewJeans",1,2022,8,1,"17","363472647","119",100,"Minor",59,78,94,27,0,29,23
"Bloody Mary","Lady Gaga",1,2011,1,1,"0","372476382","26",100,"Minor",59,49,65,2,0,13,3
"MonotonяПН","Ozuna, Shakira",2,2022,10,19,"15","380726517","34",132,"Minor",87,82,70,42,0,21,5
"яПНяПНяПН98 Braves","Morgan Wallen",1,2023,3,3,"0","56533272","15",142,"Major",49,48,67,10,0,26,3
"WANDA","Quevedo",1,2023,1,20,"22","175399345","24",176,"Minor",72,96,63,25,0,21,7
"Thought You Should Know","Morgan Wallen",1,2022,5,6,"4","203221468","53",140,"Major",53,51,70,49,0,14,3
"In The End","Linkin Park",1,2000,10,24,"6","1624165576","0",105,"Minor",55,40,90,1,0,32,6
"Zona De Perigo","Leo Santana",1,2022,12,8,"4","134294498","1",135,"Major",81,97,77,75,0,35,3
"Lovezinho","Treyce",1,2022,7,28,"0","70069745","2",128,"Minor",82,61,59,30,0,12,4
"I Like You (A Happier Song) (with Doja Cat)","Post Malone, Doja Cat",2,2022,6,3,"14","609293408","21",101,"Major",74,43,69,12,0,12,7
"Neverita","Bad Bunny",1,2022,5,6,"30","671365962","64",122,"Major",88,43,50,7,0,14,5
"Vista Al Mar","Quevedo",1,2022,9,8,"34","362361576","19",105,"Minor",76,49,56,80,12,10,13
"Sem AlianяПНяПНa no ","MC Xenon, Os Gemeos da Putaria",2,2022,12,23,"4","93587665","1",83,"Major",53,40,36,73,0,11,33
"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons, League of Legends, JID, Arcane",4,2021,9,3,"7","1223481149","88",77,"Minor",72,59,76,24,0,42,28
"Revenge","XXXTENTACION",1,2017,8,25,"11","1022258230","0",140,"Minor",75,18,25,78,0,11,26
"Bombonzinho - Ao Vivo","Israel & Rodolffo, Ana Castela",2,2022,11,3,"6","263453310","69",158,"Major",65,72,95,31,0,92,5
"LA CANCIяПН","J Balvin, Bad Bunny",2,2019,6,28,"31","1435127549","109",176,"Major",75,43,65,15,0,11,32
"QuяПНяПН Ago","Yuridia, Angela Aguilar",2,2022,10,20,"15","236857112","59",98,"Major",73,88,57,56,0,5,2
"Love Again","The Kid Laroi",1,2023,1,27,"0","147538971","4",107,"Minor",66,47,40,72,0,11,3
"After Hours","The Weeknd",1,2020,2,19,"6","698086140","115",109,"Minor",66,16,57,10,1,12,3
"About Damn Time","Lizzo",1,2022,7,15,"2","723894473","0",109,"Minor",84,72,74,10,0,34,7
"Born With A Beer In My Hand","Morgan Wallen",1,2023,3,3,"0","34450974","9",148,"Major",53,61,81,5,0,36,4
"яПНяПНяПНяПНяПНяПНяПНяПНяПНяПНяПНяПНяПНяПНяПНяПНяПНяПНяПНяПНяПН","Fujii Kaze",1,2020,5,20,"14","403097450","94",158,"Minor",60,52,76,17,0,19,5
"Besos Moja2","Wisin & Yandel, ROSALяПН",2,2022,9,29,"13","309483971","7",94,"Minor",74,64,73,6,0,10,6
"Maan Meri Jaan","King",1,2022,10,12,"6","319566866","80",96,"Minor",70,40,51,35,0,10,4
"Moscow Mule","Bad Bunny",1,2022,5,6,"33","909001996","113",100,"Minor",80,29,67,29,0,12,3
"My Universe","Coldplay, BTS",2,2021,9,24,"13","1061966512","0",105,"Major",58,42,68,1,0,14,4
"Devil DonяПНяПНяПН","Morgan Wallen",1,2023,3,3,"0","32526947","10",125,"Major",53,32,66,38,0,9,3
"LLYLM","ROSALяПН",1,2023,1,27,"0","124988687","41",170,"Minor",56,56,63,13,0,19,27
"I'm Not Here To Make Friends","Sam Smith, Calvin Harris, Jessie Reyez",3,2023,1,27,"0","103787664","1",115,"Major",70,84,90,17,0,41,6
"TRUSTFALL","P!nk",1,2023,1,27,"16","134255790","24",122,"Major",64,25,89,0,0,15,9
"ANTIFRAGILE","LE SSERAFIM",1,2022,10,17,"12","301051721","95",105,"Minor",88,82,80,8,0,11,8
"Boy's a liar","PinkPantheress",1,2022,11,30,"0","156338624","0",133,"Major",66,74,84,25,0,21,4
"VIBE (feat. Jimin of BTS)","TAEYANG, Jimin",2,2023,1,13,"2","152850295","40",100,"Major",79,60,68,7,0,26,4
"Shirt","SZA",1,2022,10,28,"0","309653982","95",120,"Minor",82,55,45,15,3,9,10
"Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By","Rihanna",1,2022,10,28,"0","297328960","31",177,"Major",25,17,30,90,0,13,3
"STAR WALKIN' (League of Legends Worlds Anthem)","Lil Nas X",1,2022,9,22,"0","332506354","17",142,"Minor",64,31,72,15,0,9,5
"Sex, Drugs, Etc.","Beach Weather",1,2016,11,4,"16","480507035","60",144,"Minor",57,47,84,1,1,52,4
"Boy With Luv (feat. Halsey)","Halsey, BTS",2,2019,4,12,"0","1065580332","92",120,"Minor",65,80,86,9,0,19,10
"Hey, Mickey!","Baby Tate",1,2016,9,27,"0","122763672","1",135,"Major",92,73,51,55,0,15,6
"Calm Down","RяПНяПН",1,2022,2,9,"10","445763624","44",107,"Major",81,82,78,38,0,12,4
"Jhoome Jo Pathaan","Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22,"4","1365184","78",105,"Major",82,62,74,10,0,33,7
"Escapism. - Sped Up","RAYE, 070 Shake",2,2022,11,25,"0","184308753","1",108,"Minor",44,38,77,9,0,9,20
"Space Song","Beach House",1,2015,1,1,"4","789753877","76",147,"Minor",51,62,79,22,13,14,3
"Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]","BTS, Jung Kook, FIFA Sound",3,2022,11,20,"20","323358833","78",115,"Major",71,34,88,16,0,44,4
"Te Felicito","Shakira, Rauw Alejandro",2,2022,4,21,"9","606361689","66",174,"Major",70,57,64,23,0,8,32
"MuяПНяПН","Steve Aoki, Tini, La Joaqui",3,2023,1,12,"6","120972253","7",90,"Minor",68,83,71,3,0,31,8
"TV","Billie Eilish",1,2022,7,21,"2","338564981","89",141,"Minor",41,9,25,84,1,14,4
"I'm Not The Only One","Sam Smith",1,2014,1,1,"3","1606986953","24",82,"Major",68,50,49,56,0,8,4
"Heather","Conan Gray",1,2020,3,20,"7","1301799902","1",92,"Major",47,25,43,62,0,32,3
"Besharam Rang (From Pathaan)","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,12,12,"4","140187018","79",116,"Minor",77,65,80,6,0,15,4
"One Kiss (with Dua Lipa)","Calvin Harris, Dua Lipa",2,2017,6,2,"10","1897517891","122",124,"Minor",79,59,86,4,0,8,11
"Sugar Rush Ride","TOMORROW X TOGETHER",1,2023,1,27,"0","107642809","56",125,"Minor",71,83,89,1,0,17,9
"Pink Venom","BLACKPINK",1,2022,8,19,"16","551305895","119",90,"Major",80,71,69,2,0,27,10
"WAIT FOR U (feat. Drake & Tems)","Drake, Future, Tems",3,2022,4,27,"14","556585270","84",83,"Major",46,34,64,31,0,7,34
"Don't Start Now","Dua Lipa",1,2019,10,31,"0","2303033973","77",124,"Minor",79,68,79,1,0,10,8
"After Dark","Mr.Kitty",1,2014,8,8,"14","646886885","9",140,"Major",58,4,60,7,41,8,3
"Eu Gosto Assim - Ao Vivo","Gustavo Mioto, Mari Fernandez",2,2022,9,16,"4","222612678","64",154,"Major",64,61,91,15,0,72,4
"INDUSTRY BABY (feat. Jack Harlow)","Jack Harlow, Lil Nas X",2,2021,7,23,"0","1814349763","47",150,"Minor",74,89,70,2,0,5,6
"MIDDLE OF THE NIGHT","Elley DuhяПН",1,2020,1,10,"8","872137015","21",186,"Minor",41,9,61,2,0,12,5
"Atlantis","Seafret",1,2015,4,22,"6","571386359","53",166,"Minor",40,23,48,5,0,12,3
"PUNTO 40","Baby Rasta, Rauw Alejandro",2,2022,9,22,"12","304079786","32",107,"Major",87,20,83,0,4,31,9
"Evoque Prata","DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,9,9,"0","174006928","1",87,"Major",87,52,52,31,0,28,24
"How Do I Say Goodbye","Dean Lewis",1,2022,8,5,"15","284785823","97",82,"Major",40,39,64,21,0,7,7
"Blind","SZA",1,2022,12,9,"0","163284000","51",114,"Minor",46,60,28,91,0,21,4
"Die For You","Joji",1,2022,11,4,"0","246390068","45",148,"Major",47,15,52,38,13,29,5
"Doja","Central Cee",1,2022,7,20,"44","482257456","44",140,"Major",91,97,57,38,0,40,29
"Gatita","Bellakath",1,2022,10,3,"0","168684524","0",101,"Major",90,76,81,15,24,33,6
"Rumble","Skrillex, Flowdan, Fred again..",3,2022,1,17,"0","78489819","45",140,"Minor",81,6,84,5,23,6,6
"Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]","Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2,"0","195516622","22",88,"Minor",49,24,66,19,0,18,29
"Yonaguni","Bad Bunny",1,2021,6,4,"28","1260594497","86",180,"Major",64,44,65,28,0,14,12
"Super Freaky Girl","Nicki Minaj",1,2022,8,12,"0","428685680","17",133,"Major",95,91,89,6,0,31,24
"Running Up That Hill (A Deal With God)","Kate Bush",1,1985,9,16,"0","1024858327","1",108,"Minor",63,20,55,72,0,6,6
"Dream On","Aerosmith",1,1973,1,5,"0","838586769","0",80,"Minor",39,24,43,39,0,23,3
"Limbo","Freddie Dredd",1,2022,8,11,"0","199386237","1",75,"Minor",80,46,62,3,6,11,46
"Where Are You Now","Lost Frequencies, Calum Scott",2,2021,7,30,"44","972509632","122",121,"Minor",67,26,64,52,0,17,10
"WORTH NOTHING","Twisted, Oliver Tree",2,2022,9,28,"0","213438580","54",140,"Minor",58,17,62,18,0,20,8
"Bad Habits","Ed Sheeran",1,2020,9,3,"8","1555511105","97",126,"Minor",81,59,90,5,0,36,3
"KICK BACK","Kenshi Yonezu",1,2022,10,12,"4","210038833","101",102,"Major",58,29,94,0,0,9,11
"Evergreen (You DidnяПНяПНяПНt Deserve Me A","Omar Apollo",1,2022,4,8,"0","227918678","0",82,"Major",70,31,34,60,1,11,4
"Good Days","SZA",1,2020,12,24,"2","826623384","109",121,"Minor",46,53,78,23,0,72,6
"Levitating (feat. DaBaby)","Dua Lipa, DaBaby",2,2020,3,27,"8","1802514301","13",103,"Minor",70,92,83,1,0,7,6
"Woman","Doja Cat",1,2021,6,25,"0","1329090101","50",108,"Minor",82,88,76,9,0,12,9
"Shut up My Moms Calling - (Sped Up)","Hotel Ugly",1,2022,9,14,"7","181831132","4",85,"Minor",65,36,47,31,0,12,10
